,index,outlier,score
743,8624,D(maj),0.514158891661946
744,8666,D(maj),0.514158891661946
745,8672,D(maj),0.514158891661946
746,8675,G(min),0.5012844395396513
747,8676,G(min),0.5012844395396513
748,8714,D(maj),0.514158891661946
749,8720,D(maj),0.514158891661946
750,8724,D(maj),0.514158891661946
751,8750,D(maj),0.514158891661946
752,8758,D(maj),0.514158891661946
753,8795,F(min),0.531675187881862
754,8797,G(min),0.5012844395396513
755,8798,G(min),0.5012844395396513
756,8799,G(min),0.5012844395396513
757,8904,D(maj),0.514158891661946
758,8914,G(min),0.5012844395396513
759,8917,D(maj),0.514158891661946
760,8920,G(min),0.5012844395396513
761,8921,G(min),0.5012844395396513
762,8937,D(maj),0.514158891661946
763,8987,D(maj),0.514158891661946
764,8988,G(min),0.5012844395396513
765,8996,F(min),0.531675187881862
766,8997,F(min),0.531675187881862
767,8998,D(maj),0.514158891661946
768,9005,F(min),0.531675187881862
769,9006,C(min),0.5412086816653819
770,9024,D(maj),0.514158891661946
771,9026,G(min),0.5012844395396513
772,9030,F(min),0.531675187881862
773,9041,vi,0.5211389004144182
774,9049,D(maj),0.514158891661946
775,9054,D(maj),0.514158891661946
776,9055,D(maj),0.514158891661946
777,9110,C(min),0.5412086816653819
778,9111,C(min),0.5412086816653819
779,9119,F(min),0.531675187881862
780,9123,G(min),0.5012844395396513
781,9125,G(min),0.5012844395396513
782,9148,D(maj),0.514158891661946
783,9149,D(maj),0.514158891661946
784,9150,D(maj),0.514158891661946
785,9151,D(maj),0.514158891661946
786,9165,G(min),0.5012844395396513
787,9166,G(min),0.5012844395396513
788,9215,D(maj),0.514158891661946
789,9219,vi,0.5211389004144182
790,9220,F(min),0.531675187881862
791,9227,D(maj),0.514158891661946
792,9237,G(min),0.5012844395396513
793,9273,D(maj),0.514158891661946
794,9274,D(maj),0.514158891661946
795,9283,vi,0.5211389004144182
796,9310,C(min),0.5412086816653819
797,9329,D(maj),0.514158891661946
798,9332,G(min),0.5012844395396513
799,9364,D(maj),0.514158891661946
800,9378,F(min),0.531675187881862
801,9381,C(min),0.5412086816653819
802,9382,F(min),0.531675187881862
803,9384,vi,0.5211389004144182
804,9387,D(maj),0.514158891661946
805,9404,D(maj),0.514158891661946
806,9405,D(maj),0.514158891661946
807,9409,F(min),0.531675187881862
808,9412,vi,0.5211389004144182
809,9417,G(min),0.5012844395396513
810,9418,G(min),0.5012844395396513
811,9442,D(maj),0.514158891661946
812,9452,C(min),0.5412086816653819
813,9453,F(min),0.531675187881862
814,9454,F(min),0.531675187881862
815,9470,vi,0.5211389004144182
816,9499,G(min),0.5012844395396513
817,9504,G(min),0.5012844395396513
818,9540,D(maj),0.514158891661946
819,9544,C(min),0.5412086816653819
820,9589,F(min),0.531675187881862
821,9606,G(min),0.5012844395396513
822,9607,G(min),0.5012844395396513
823,9608,G(min),0.5012844395396513
824,9626,D(maj),0.514158891661946
825,9627,F(min),0.531675187881862
826,9628,vi,0.5211389004144182
827,9629,G(min),0.5012844395396513
828,9634,D(maj),0.514158891661946
829,9658,D(maj),0.514158891661946
830,9676,G(min),0.5012844395396513
831,9677,G(min),0.5012844395396513
832,9702,G(min),0.5012844395396513
833,9703,G(min),0.5012844395396513
834,9704,G(min),0.5012844395396513
835,9705,G(min),0.5012844395396513
836,9710,G(min),0.5012844395396513
837,9762,C(min),0.5412086816653819
838,9763,F(min),0.531675187881862
839,9790,D(maj),0.514158891661946
840,9791,D(maj),0.514158891661946
841,9809,C(min),0.5412086816653819
842,9811,G(min),0.5012844395396513
843,9832,G(min),0.5012844395396513
844,9833,G(min),0.5012844395396513
845,9848,D(maj),0.514158891661946
846,9869,D(maj),0.514158891661946
847,9890,vi,0.5211389004144182
848,9893,F(min),0.531675187881862
849,9894,F(min),0.531675187881862
850,9895,C(min),0.5412086816653819
851,9896,C(min),0.5412086816653819
852,9897,C(min),0.5412086816653819
853,9924,G(min),0.5012844395396513
854,9925,G(min),0.5012844395396513
855,9935,F(min),0.531675187881862
856,9941,D(maj),0.514158891661946
857,9942,D(maj),0.514158891661946
858,9943,D(maj),0.514158891661946
859,9945,G(min),0.5012844395396513
860,9973,C(min),0.5412086816653819
861,9978,C(min),0.5412086816653819
862,9980,C(min),0.5412086816653819
863,9982,C(min),0.5412086816653819
864,9985,G(min),0.5012844395396513
865,9988,G(min),0.5012844395396513
866,9989,G(min),0.5012844395396513
867,9992,G(min),0.5012844395396513
868,10015,G(min),0.5012844395396513
869,10017,F(min),0.531675187881862
870,10031,G(min),0.5012844395396513
871,10043,vi,0.5211389004144182
872,10044,vi,0.5211389004144182
873,10045,vi,0.5211389004144182
874,10046,G(min),0.5012844395396513
875,10052,vi,0.5211389004144182
876,10061,D(maj),0.514158891661946
877,10062,D(maj),0.514158891661946
878,10064,C(min),0.5412086816653819
879,10081,D(maj),0.514158891661946
880,10084,G(min),0.5012844395396513
881,10085,C(min),0.5412086816653819
882,10101,F(min),0.531675187881862
883,10107,C(min),0.5412086816653819
884,10108,G(min),0.5012844395396513
885,10112,D(maj),0.514158891661946
886,10126,D(maj),0.514158891661946
887,10128,G(min),0.5012844395396513
888,10129,D(maj),0.514158891661946
889,10131,G(min),0.5012844395396513
890,10132,G(min),0.5012844395396513
891,10153,F(min),0.531675187881862
892,10155,D(maj),0.514158891661946
893,10186,D(maj),0.514158891661946
894,10187,vi,0.5211389004144182
895,10194,D(maj),0.514158891661946
896,10251,vi,0.5211389004144182
897,10254,C(min),0.5412086816653819
898,10260,vi,0.5211389004144182
899,10269,G(min),0.5012844395396513
900,10321,C(min),0.5412086816653819
901,10326,D(maj),0.514158891661946
902,10348,D(maj),0.514158891661946
903,10349,D(maj),0.514158891661946
904,10350,D(maj),0.514158891661946
905,10351,D(maj),0.514158891661946
906,10369,D(maj),0.514158891661946
907,10377,vi,0.5211389004144182
908,10378,vi,0.5211389004144182
909,10419,D(maj),0.514158891661946
